feature_index,name,operator,record_source,longitude,latitude,coordinate_is_approximate,coordinate_quality,matched_area,coordinate_method,coordinate_confidence,estimated_accuracy_m,coordinate_warning,original_geometry_status,source_url
96,TIS HAZARI METRO STN.,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.216,28.667,True,approximate_area_centroid,tis hazari,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
97,"JHILMIL, TAHIRPUR",Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.313,28.685,True,approximate_area_centroid,tahirpur,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
98,"WAZIRABAD ROAD, BHAJANPURA",Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.287,28.7,True,approximate_area_centroid,wazirabad road,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
99,HARI NAGAR,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.11,28.625,True,approximate_area_centroid,hari nagar,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
100,DWARKA SECTOR - 17,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.035,28.593,True,approximate_area_centroid,dwarka sector 17,sector_centroid,medium,900,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
101,"ROSHANPURA, NAJAFGARH",Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,76.987,28.613,True,approximate_area_centroid,roshanpura,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
102,"KRISHNA NAGAR, GHONDLI",Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.279,28.656,True,approximate_area_centroid,krishna nagar,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
103,"LAXMI NAGAR, BLOCK-E",Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.278,28.63,True,approximate_area_centroid,laxmi nagar,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
104,SHAKARPUR A115,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.283,28.63,True,approximate_area_centroid,shakarpur,interpreted_locality_centroid,medium,1500,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
105,"SIRASPUR, GURUDWARA RD.",Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.119,28.759,True,approximate_area_centroid,siraspur,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
106,RAM NAGAR 110,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.289,28.676,True,approximate_area_centroid,ram nagar shahdara,interpreted_parent_area_centroid,low,3000,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
107,SATNAM PARK,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.098,28.621,True,approximate_area_centroid,satnam park,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
108,B BLK HASTSAL,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.042,28.628,True,approximate_area_centroid,hastsal,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
109,ASHOK VIHAR 34,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.176,28.696,True,approximate_area_centroid,ashok vihar,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
110,SULTANPUR MAJRA,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.076,28.701,True,approximate_area_centroid,sultanpur majra,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
111,PUNJABI BAGH ENCLAVE,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.132,28.667,True,approximate_area_centroid,punjabi bagh enclave,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
112,"VIKASPURI, PRATIBHA TOWER",Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.07,28.638,True,approximate_area_centroid,vikaspuri,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
113,RAJENDRA PLACE,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.177,28.642,True,approximate_area_centroid,rajendra place,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
114,PITAMPURA QD,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.131,28.704,True,approximate_area_centroid,pitampura,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
115,MANGOL PURI PHASE 2,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.087,28.696,True,approximate_area_centroid,mangolpuri,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
116,SHIVPURI,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.282,28.655,True,approximate_area_centroid,shivpuri,interpreted_locality_centroid,medium,1500,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
117,SANJAY GANDHI TPT NAGAR,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.139,28.748,True,approximate_area_centroid,sanjay gandhi transport nagar,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
118,MAYAPURI S2,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.129,28.637,True,approximate_area_centroid,mayapuri,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
119,MANGOL PURI A-27,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.087,28.696,True,approximate_area_centroid,mangolpuri,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
120,PEERA GARHI,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.092,28.679,True,approximate_area_centroid,peera garhi,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
121,ROHINI SECTOR-20,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.092,28.728,True,approximate_area_centroid,rohini sector 20,sector_centroid,medium,800,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
122,PASCHIM VIHAR,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.091,28.669,True,approximate_area_centroid,paschim vihar,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
123,DURGA COMPLEX,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.24,28.555,True,approximate_area_centroid,durga complex,interpreted_parent_area_centroid,low,3000,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
124,TAGORE MARKET,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.112,28.643,True,approximate_area_centroid,tagore market,named_parent_area_centroid,low,3000,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
125,KASHMERE GATE,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.228,28.6675,True,approximate_area_centroid,kashmere gate,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
126,KANTI NAGAR EXTN.,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.273,28.663,True,approximate_area_centroid,kanti nagar,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
127,BINDAPUR,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.065,28.614,True,approximate_area_centroid,bindapur,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
128,JWALAPURI,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.072,28.677,True,approximate_area_centroid,jwalapuri,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
129,KAMLA MARKET,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.226,28.641,True,approximate_area_centroid,kamla market,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
130,MAHIPALPUR E-14,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.125,28.544,True,approximate_area_centroid,mahipalpur,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
131,ROHTAK ROAD,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.15,28.67,True,approximate_area_centroid,rohtak road,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
132,OLD RAJINDER NAGAR,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.182,28.638,True,approximate_area_centroid,old rajinder nagar,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
133,JASOLA VIHAR 17-18,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.283,28.538,True,approximate_area_centroid,jasola,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
134,RAJOURI GARDEN,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.12,28.642,True,approximate_area_centroid,rajouri garden,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
135,SHIV NAGAR,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.098,28.631,True,approximate_area_centroid,shiv nagar west,interpreted_parent_area_centroid,low,3000,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
136,PRASHANT VIHAR,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.135,28.716,True,approximate_area_centroid,prashant vihar,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
137,VIKAS BHAWAN,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.242,28.628,True,approximate_area_centroid,vikas bhawan,interpreted_parent_area_centroid,low,3000,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
138,ROHINI SECTOR-19,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.111,28.744,True,approximate_area_centroid,rohini sector 19,sector_centroid,medium,800,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
139,VASANT KUNJ,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.156,28.525,True,approximate_area_centroid,vasant kunj,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
140,KALYANPURI,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.321,28.614,True,approximate_area_centroid,kalyanpuri,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
141,ROHINI SECTOR-21,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.082,28.724,True,approximate_area_centroid,rohini sector 21,sector_centroid,medium,800,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
142,DWARKA SEC-5,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.048,28.596,True,approximate_area_centroid,dwarka sector 5,sector_centroid,medium,900,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
143,BHIKAJI CAMA PLACE,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.188,28.568,True,approximate_area_centroid,bhikaji cama place,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
144,KALU SARAI,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.205,28.543,True,approximate_area_centroid,kalu sarai,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
145,UTTAM NAGAR,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.056,28.621,True,approximate_area_centroid,uttam nagar,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
146,DEVLI ROAD,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.227,28.5,True,approximate_area_centroid,devli,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
147,"SULTANPURI, JJ COLONY",Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.071,28.699,True,approximate_area_centroid,sultanpuri,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
148,SHASTRI PARK,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.25,28.668,True,approximate_area_centroid,shastri park,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
149,SWAROOP NAGAR,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.164,28.757,True,approximate_area_centroid,swaroop nagar,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
150,"MANDOLI, SHAHDARA",Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.311,28.702,True,approximate_area_centroid,mandoli,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
151,CHILLA DALLUPURA,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.331,28.606,True,approximate_area_centroid,chilla dallupura,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
152,MOTIA KHAN,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.2,28.649,True,approximate_area_centroid,motia khan,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
153,GAMRI EXTN.,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.267,28.704,True,approximate_area_centroid,gamri extension,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
154,MUNDKA 6315,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.031,28.684,True,approximate_area_centroid,mundka,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
155,MADANGIR,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.233,28.517,True,approximate_area_centroid,madangir,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
156,MEHARCHAND MARKET,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.226,28.583,True,approximate_area_centroid,mehar chand market,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
157,"KD BLOCK, PITAMPURA",Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.131,28.704,True,approximate_area_centroid,pitampura,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
158,GOKULPURI,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.287,28.702,True,approximate_area_centroid,gokulpuri,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
159,CHATTARPUR,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.185,28.503,True,approximate_area_centroid,chhattarpur,fuzzy_locality_centroid,low,2200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
160,NEW SEELAMPUR,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.268,28.67,True,approximate_area_centroid,new seelampur,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
161,BHAGIRATH PALACE,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.232,28.657,True,approximate_area_centroid,bhagirath palace,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
162,DHAULA KUAN,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.162,28.592,True,approximate_area_centroid,dhaula kuan,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
163,"T BLK, MANGOLPURI",Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.087,28.696,True,approximate_area_centroid,mangolpuri,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
164,D-5 MAYAPURI,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.129,28.637,True,approximate_area_centroid,mayapuri,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
165,"TDI MALL, RAJOURI",Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.121,28.642,True,approximate_area_centroid,tdi mall rajouri,interpreted_locality_centroid,medium,1500,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
166,LAJPAT NAGAR,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.243,28.57,True,approximate_area_centroid,lajpat nagar,interpreted_locality_centroid,medium,1500,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
167,JAINA TOWER,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.081,28.629,True,approximate_area_centroid,jaina tower janakpuri,interpreted_locality_centroid,medium,1500,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
168,KONDLI,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.337,28.612,True,approximate_area_centroid,kondli,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
169,PATEL NAGAR,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.166,28.651,True,approximate_area_centroid,patel nagar,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
170,JANAPURI C BLK,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.083,28.621,True,approximate_area_centroid,janakpuri c block,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
171,SARAI BUILDING,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.208,28.671,True,approximate_area_centroid,sarai baraf khana,interpreted_parent_area_centroid,low,3000,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
172,IDGAH ROAD,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.205,28.655,True,approximate_area_centroid,idgah road,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
173,TIKRI KALAN,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,76.993,28.686,True,approximate_area_centroid,tikri kalan,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
174,JAHANGIR PURI BYEPASS,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.162,28.725,True,approximate_area_centroid,jahangirpuri,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
175,KANJHAWALA 881,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.002,28.728,True,approximate_area_centroid,kanjhawala,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
176,SWARAN PARK MUNDKA,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.035,28.682,True,approximate_area_centroid,swaran park mundka,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
177,SHIV VIHAR,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.285,28.72,True,approximate_area_centroid,shiv vihar,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
178,DISTRICT CENTRE JANAKPURI,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.081,28.629,True,approximate_area_centroid,district centre janakpuri,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
179,SEWAK PARK,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.046,28.618,True,approximate_area_centroid,sewak park,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
180,KANJHAWALA 134,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.002,28.728,True,approximate_area_centroid,kanjhawala,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
181,JAWAHAR NAGAR,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.205,28.68,True,approximate_area_centroid,jawahar nagar,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
182,PANCHKUIAN ROAD,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.205,28.633,True,approximate_area_centroid,panchkuian road,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
183,KANJHAWALA 664,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.002,28.728,True,approximate_area_centroid,kanjhawala,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
184,BALDEV PARK,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.287,28.669,True,approximate_area_centroid,baldev park,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
185,MUNDKA 7213,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.031,28.684,True,approximate_area_centroid,mundka,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
186,GULABI BAGH CL,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.184,28.672,True,approximate_area_centroid,gulabi bagh,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
187,OLD SEEMA PURI (SPL),Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.33,28.683,True,approximate_area_centroid,old seemapuri,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
188,JAHANGIRPURI (DML),Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.162,28.725,True,approximate_area_centroid,jahangirpuri,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
189,OKHLA INDL AREA (SPL),Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.273,28.539,True,approximate_area_centroid,okhla industrial area,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
190,GAZIPUR (SPL),Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.323,28.627,True,approximate_area_centroid,gazipur,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
191,MAJNU KA TILLA (DML),Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.228,28.702,True,approximate_area_centroid,majnu ka tila,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
